seed,beta,duration,heartbeats_sent,heartbeats_delivered,false_elections,safety_violations,availability
6,0.7000000000000001,10.0,572,374,1,120,0.14840196511610237
6,0.75,10.0,532,337,4,107,0.13800041240968208
6,0.8,10.0,484,298,4,82,0.1303451889928965
6,0.8500000000000001,10.0,424,254,4,76,0.12208966675503352
6,0.9,10.0,352,205,4,84,0.11531481345967376
7,0.0,10.0,804,715,0,223,1.0
7,0.05,10.0,800,754,0,311,1.0
7,0.1,10.0,800,791,0,273,1.0
7,0.15000000000000002,10.0,792,763,0,207,1.0
7,0.2,10.0,784,726,0,197,1.0
7,0.25,10.0,776,688,0,173,1.0
7,0.30000000000000004,10.0,764,652,0,185,1.0
7,0.35000000000000003,10.0,752,617,0,189,1.0
7,0.4,10.0,736,582,0,170,1.0
7,0.45,10.0,716,548,0,155,1.0
7,0.5,10.0,696,514,0,148,1.0
7,0.55,10.0,672,480,0,144,1.0
7,0.6000000000000001,10.0,644,446,1,137,0.17900113001277373
7,0.65,10.0,608,410,1,112,0.15992252683644392
7,0.7000000000000001,10.0,572,374,1,116,0.1484101431276541
7,0.75,10.0,532,337,4,101,0.13800538170420462
7,0.8,10.0,484,298,4,84,0.13035066369290005
7,0.8500000000000001,10.0,424,254,4,80,0.12209176897047003
7,0.9,10.0,352,205,4,60,0.11531689730886308
8,0.0,10.0,800,714,0,205,1.0
8,0.05,10.0,800,754,0,297,1.0
8,0.1,10.0,796,790,0,275,1.0
8,0.15000000000000002,10.0,792,763,0,198,1.0
8,0.2,10.0,784,726,0,194,1.0
8,0.25,10.0,776,688,0,199,1.0
8,0.30000000000000004,10.0,764,652,0,185,1.0
8,0.35000000000000003,10.0,752,617,0,184,1.0
8,0.4,10.0,736,582,0,169,1.0
8,0.45,10.0,716,548,0,157,1.0
8,0.5,10.0,696,514,0,167,1.0
8,0.55,10.0,672,480,0,136,1.0
8,0.6000000000000001,10.0,640,444,1,136,0.17903231899717686
8,0.65,10.0,608,410,1,129,0.1599230881659276
8,0.7000000000000001,10.0,572,374,1,98,0.14841004654585854
8,0.75,10.0,532,337,4,87,0.13800301486882882
8,0.8,10.0,480,298,4,90,0.1303458226129669
8,0.8500000000000001,10.0,424,254,4,75,0.12208978384244717
8,0.9,10.0,352,205,4,63,0.11531412822249187
9,0.0,10.0,804,715,0,206,1.0
9,0.05,10.0,800,754,0,301,1.0
9,0.1,10.0,800,791,0,273,1.0
9,0.15000000000000002,10.0,792,763,0,206,1.0
9,0.2,10.0,784,726,0,188,1.0
9,0.25,10.0,776,688,0,184,1.0
9,0.30000000000000004,10.0,764,652,0,168,1.0
9,0.35000000000000003,10.0,752,617,0,205,1.0
9,0.4,10.0,736,582,0,156,1.0
9,0.45,10.0,716,548,0,161,1.0
9,0.5,10.0,696,514,0,164,1.0
9,0.55,10.0,672,480,0,150,1.0
9,0.6000000000000001,10.0,640,444,1,125,0.1790397931589356
9,0.65,10.0,608,410,1,123,0.15992499681133343
9,0.7000000000000001,10.0,572,374,1,109,0.14841760078883348
9,0.75,10.0,532,337,4,96,0.13801799187865404
9,0.8,10.0,480,297,4,96,0.13044789435379534
9,0.8500000000000001,10.0,424,254,4,68,0.122097994299456
9,0.9,10.0,352,205,4,59,0.11531861837589674
10,0.0,10.0,804,715,0,195,1.0
10,0.05,10.0,800,754,0,331,1.0
10,0.1,10.0,800,791,0,294,1.0
10,0.15000000000000002,10.0,792,763,0,204,1.0
10,0.2,10.0,784,726,0,187,1.0
10,0.25,10.0,776,688,0,193,1.0
10,0.30000000000000004,10.0,764,652,0,181,1.0
10,0.35000000000000003,10.0,752,617,0,184,1.0
10,0.4,10.0,736,582,0,189,1.0
10,0.45,10.0,716,548,0,158,1.0
10,0.5,10.0,696,514,0,136,1.0
10,0.55,10.0,672,480,0,156,1.0
10,0.6000000000000001,10.0,644,445,1,125,0.17895493075969304
10,0.65,10.0,608,410,1,120,0.15990675164837476
10,0.7000000000000001,10.0,572,374,1,101,0.1484000099068732
10,0.75,10.0,532,337,4,100,0.13799929194746208
10,0.8,10.0,484,298,4,76,0.13034815550390155
10,0.8500000000000001,10.0,424,254,4,81,0.1220927857644094
10,0.9,10.0,352,205,4,68,0.11531579363443856
11,0.0,10.0,804,715,0,195,1.0
11,0.05,10.0,800,754,0,299,1.0
11,0.1,10.0,800,791,0,269,1.0
11,0.15000000000000002,10.0,792,763,0,211,1.0
11,0.2,10.0,784,726,0,207,1.0
11,0.25,10.0,776,688,0,194,1.0
11,0.30000000000000004,10.0,764,652,0,196,1.0
11,0.35000000000000003,10.0,752,617,0,181,1.0
11,0.4,10.0,736,582,0,154,1.0
11,0.45,10.0,716,548,0,158,1.0
11,0.5,10.0,696,514,0,151,1.0
11,0.55,10.0,672,480,0,134,1.0
11,0.6000000000000001,10.0,644,446,1,140,0.1789919376148127
11,0.65,10.0,608,410,1,124,0.15991450249854644
11,0.7000000000000001,10.0,572,374,1,120,0.1484014348853766
11,0.75,10.0,532,337,4,84,0.1380004230230668
11,0.8,10.0,484,298,4,89,0.130350215218348
11,0.8500000000000001,10.0,424,254,4,89,0.12209190422396998
11,0.9,10.0,352,205,4,63,0.11531526050304564
12,0.0,10.0,804,715,0,206,1.0
12,0.05,10.0,800,754,0,302,1.0
12,0.1,10.0,796,790,0,257,1.0
12,0.15000000000000002,10.0,792,763,0,220,1.0
12,0.2,10.0,784,726,0,179,1.0
12,0.25,10.0,776,688,0,198,1.0
12,0.30000000000000004,10.0,764,652,0,200,1.0
12,0.35000000000000003,10.0,752,617,0,190,1.0
12,0.4,10.0,736,582,0,171,1.0
12,0.45,10.0,716,548,0,163,1.0
12,0.5,10.0,696,514,0,159,1.0
12,0.55,10.0,672,480,0,133,1.0
12,0.6000000000000001,10.0,644,446,1,122,0.1790515149418228
