seed,beta,duration,heartbeats_sent,heartbeats_delivered,false_elections,safety_violations,availability
1,0.0,10.0,800,715,4,172,0.014999999999999902
1,0.05,10.0,800,754,4,304,0.015000000000000013
1,0.1,10.0,796,790,4,274,0.015000000000000013
1,0.15000000000000002,10.0,792,763,4,189,0.015000000000000013
1,0.2,10.0,784,726,4,172,0.014999999999999902
1,0.25,10.0,776,688,4,215,0.014999999999999902
1,0.30000000000000004,10.0,764,652,4,195,0.015000000000000013
1,0.35000000000000003,10.0,752,617,4,169,0.015000000000000013
1,0.4,10.0,736,582,4,175,0.015000000000000013
1,0.45,10.0,716,548,4,155,0.015000000000000013
1,0.5,10.0,696,514,4,145,0.015000000000000013
1,0.55,10.0,672,480,4,157,0.014999999999999902
1,0.6000000000000001,10.0,644,445,4,119,0.015000000000000013
1,0.65,10.0,608,410,4,115,0.014999999999999902
1,0.7000000000000001,10.0,572,374,4,108,0.015000000000000013
1,0.75,10.0,532,337,4,110,0.015000000000000013
1,0.8,10.0,480,297,4,98,0.014999999999999902
1,0.8500000000000001,10.0,424,254,4,71,0.015000000000000013
1,0.9,10.0,352,205,4,61,0.014999999999999902
2,0.0,10.0,800,715,4,172,0.014999999999999902
2,0.05,10.0,800,754,4,304,0.015000000000000013
2,0.1,10.0,796,790,4,274,0.015000000000000013
2,0.15000000000000002,10.0,792,763,4,189,0.015000000000000013
2,0.2,10.0,784,726,4,172,0.014999999999999902
2,0.25,10.0,776,688,4,215,0.014999999999999902
2,0.30000000000000004,10.0,764,652,4,195,0.015000000000000013
2,0.35000000000000003,10.0,752,617,4,169,0.015000000000000013
2,0.4,10.0,736,582,4,175,0.015000000000000013
2,0.45,10.0,716,548,4,155,0.015000000000000013
2,0.5,10.0,696,514,4,145,0.015000000000000013
2,0.55,10.0,672,480,4,157,0.014999999999999902
2,0.6000000000000001,10.0,644,445,4,119,0.015000000000000013
2,0.65,10.0,608,410,4,115,0.014999999999999902
2,0.7000000000000001,10.0,572,374,4,108,0.015000000000000013
2,0.75,10.0,532,337,4,110,0.015000000000000013
2,0.8,10.0,480,297,4,98,0.014999999999999902
2,0.8500000000000001,10.0,424,254,4,71,0.015000000000000013
2,0.9,10.0,352,205,4,61,0.014999999999999902
3,0.0,10.0,800,715,4,172,0.014999999999999902
3,0.05,10.0,800,754,4,304,0.015000000000000013
3,0.1,10.0,796,790,4,274,0.015000000000000013
3,0.15000000000000002,10.0,792,763,4,189,0.015000000000000013
3,0.2,10.0,784,726,4,172,0.014999999999999902
3,0.25,10.0,776,688,4,215,0.014999999999999902
3,0.30000000000000004,10.0,764,652,4,195,0.015000000000000013
3,0.35000000000000003,10.0,752,617,4,169,0.015000000000000013
3,0.4,10.0,736,582,4,175,0.015000000000000013
3,0.45,10.0,716,548,4,155,0.015000000000000013
3,0.5,10.0,696,514,4,145,0.015000000000000013
3,0.55,10.0,672,480,4,157,0.014999999999999902
3,0.6000000000000001,10.0,644,445,4,119,0.015000000000000013
3,0.65,10.0,608,410,4,115,0.014999999999999902
3,0.7000000000000001,10.0,572,374,4,108,0.015000000000000013
3,0.75,10.0,532,337,4,110,0.015000000000000013
3,0.8,10.0,480,297,4,98,0.014999999999999902
3,0.8500000000000001,10.0,424,254,4,71,0.015000000000000013
3,0.9,10.0,352,205,4,61,0.014999999999999902
4,0.0,10.0,800,715,4,172,0.014999999999999902
4,0.05,10.0,800,754,4,304,0.015000000000000013
4,0.1,10.0,796,790,4,274,0.015000000000000013
4,0.15000000000000002,10.0,792,763,4,189,0.015000000000000013
4,0.2,10.0,784,726,4,172,0.014999999999999902
4,0.25,10.0,776,688,4,215,0.014999999999999902
4,0.30000000000000004,10.0,764,652,4,195,0.015000000000000013
4,0.35000000000000003,10.0,752,617,4,169,0.015000000000000013
4,0.4,10.0,736,582,4,175,0.015000000000000013
4,0.45,10.0,716,548,4,155,0.015000000000000013
4,0.5,10.0,696,514,4,145,0.015000000000000013
4,0.55,10.0,672,480,4,157,0.014999999999999902
4,0.6000000000000001,10.0,644,445,4,119,0.015000000000000013
4,0.65,10.0,608,410,4,115,0.014999999999999902
4,0.7000000000000001,10.0,572,374,4,108,0.015000000000000013
4,0.75,10.0,532,337,4,110,0.015000000000000013
4,0.8,10.0,480,297,4,98,0.014999999999999902
4,0.8500000000000001,10.0,424,254,4,71,0.015000000000000013
4,0.9,10.0,352,205,4,61,0.014999999999999902
5,0.0,10.0,800,715,4,172,0.014999999999999902
5,0.05,10.0,800,754,4,304,0.015000000000000013
5,0.1,10.0,796,790,4,274,0.015000000000000013
5,0.15000000000000002,10.0,792,763,4,189,0.015000000000000013
5,0.2,10.0,784,726,4,172,0.014999999999999902
5,0.25,10.0,776,688,4,215,0.014999999999999902
5,0.30000000000000004,10.0,764,652,4,195,0.015000000000000013
5,0.35000000000000003,10.0,752,617,4,169,0.015000000000000013
5,0.4,10.0,736,582,4,175,0.015000000000000013
5,0.45,10.0,716,548,4,155,0.015000000000000013
5,0.5,10.0,696,514,4,145,0.015000000000000013
5,0.55,10.0,672,480,4,157,0.014999999999999902
5,0.6000000000000001,10.0,644,445,4,119,0.015000000000000013
5,0.65,10.0,608,410,4,115,0.014999999999999902
5,0.7000000000000001,10.0,572,374,4,108,0.015000000000000013
5,0.75,10.0,532,337,4,110,0.015000000000000013
5,0.8,10.0,480,297,4,98,0.014999999999999902
5,0.8500000000000001,10.0,424,254,4,71,0.015000000000000013
5,0.9,10.0,352,205,4,61,0.014999999999999902
6,0.0,10.0,800,715,4,172,0.014999999999999902
6,0.05,10.0,800,754,4,304,0.015000000000000013
6,0.1,10.0,796,790,4,274,0.015000000000000013
6,0.15000000000000002,10.0,792,763,4,189,0.015000000000000013
6,0.2,10.0,784,726,4,172,0.014999999999999902
