beta,mean_availability,std_availability,mean_false_election_rate,std_false_election_rate,mean_safety_violations
0.0,0.014999999999999902,0.0,0.005000000000000004,3.486925384749193e-18,172.0
0.05,0.015000000000000048,3.486925384749193e-17,0.005000000000000004,3.486925384749193e-18,304.0
0.1,0.015000000000000048,3.486925384749193e-17,0.005025125628140712,8.717313461872982e-18,274.0
0.15000000000000002,0.015000000000000048,3.486925384749193e-17,0.0050505050505050405,1.046077615424758e-17,189.0
0.2,0.014999999999999902,0.0,0.005102040816326534,3.486925384749193e-18,172.0
0.25,0.014999999999999902,0.0,0.005154639175257725,6.973850769498386e-18,215.0
0.30000000000000004,0.015000000000000048,3.486925384749193e-17,0.00523560209424084,1.7434626923745965e-18,195.0
0.35000000000000003,0.015000000000000048,3.486925384749193e-17,0.005319148936170206,6.973850769498386e-18,169.0
0.4,0.015000000000000048,3.486925384749193e-17,0.005434782608695663,1.1332507500434877e-17,175.0
0.45,0.015000000000000048,3.486925384749193e-17,0.005586592178770951,8.717313461872983e-19,155.0
0.5,0.015000000000000048,3.486925384749193e-17,0.00574712643678161,8.717313461872983e-19,145.0
0.55,0.014999999999999902,0.0,0.0059523809523809425,9.589044808060281e-18,157.0
0.6000000000000001,0.015000000000000048,3.486925384749193e-17,0.006211180124223611,8.717313461872982e-18,119.0
0.65,0.014999999999999902,0.0,0.00657894736842105,2.615194038561895e-18,115.0
0.7000000000000001,0.015000000000000048,3.486925384749193e-17,0.006993006993006986,6.973850769498386e-18,108.0
0.75,0.015000000000000048,3.486925384749193e-17,0.00751879699248122,1.7434626923745964e-17,110.0
0.8,0.014999999999999902,0.0,0.008333333333333328,5.23038807712379e-18,98.0
0.8500000000000001,0.015000000000000048,3.486925384749193e-17,0.009433962264150943,0.0,71.0
0.9,0.014999999999999902,0.0,0.01136363636363637,5.23038807712379e-18,61.0
